事物类型,"文化特征单元 CAU
（Culture Attributes Unit）",CAU ID,文化特征单元定义（CAU Definition）,一级指标,二级指标,三级指标,值类型,索引/主键,抽取值字典/定义,原文描述/术语示例,原文描述转写示例,
子区域,子区域编号或名称,SubAreaIdentifier,区域的编号或名称,子区域名称,\,\,文本,是,"填入子区域描述中的子区域名称（原文）area_name
if 没有相关内容，填入子区域唯一编码",,,
,,,,子区域唯一编码,\,\,文本,是,"填入子区域描述中的标准化编码 area_code
*此项必须有值","如：Area A, T105",,
,子区域位置描述,SubAreaLocationDescription,该区域在遗址内的相对位置描述,子区域位置描述,\,\,文本,,"evidence_quote
原文短语",如：位于遗址中心台地；作坊区位于遗址北部,,有cidoc关系
,原位遗迹实体,HumanMadeFeature,人类活动形成、并且不可在不破坏其整体性的情况下被移动的空间性特征,遗址名称,\,\,文本,是,出土的遗址名称,盘龙山一期、反山遗址,,有cidoc关系
,遗址内子区域/发掘区,SiteSubArea,遗址内子区域，遗址内的地理或功能区划，或者人工划定挖掘单位（西区、A区、探方、探沟等）,子区域类型（Area Type）,\,\,属性族,,"A1	功能区	Functional area
A2	地理区	Geographic sector
A3	发掘区	Excavation area
A4	发掘单位	Excavation unit
A9	不明	Unknown",墓区、居址区、宫殿区、作坊区、西区、北城墙区、探方T0102、探沟、城址区、仓储区、水域区等,,
,,,,功能区（A1）,\,\,唯一值,,"A1-C1	居址区
A1-C2	墓区
A1-C3	宫殿区
A1-C4	作坊区
A1-C5	仓储区
A1-C6	城址区
A1-C7	水域区
A1-C9	其他功能区",,,
,,,,地理区（A2）,\,\,唯一值,,"A2-C1	东区
A2-C2	西区
A2-C3	南区
A2-C4	北区
A2-C5	中部区
A2-C9	其他地理区",,,
,,,,发掘区 / 单位（A3 / A4）,\,\,唯一值,,"A3-C1	发掘区（如 A区、B区）
A4-C1	探方
A4-C2	探沟
A4-C3	解剖沟",,,
,制作年代,ProductionDate,器物的制作时期；所处的文化时期和文化期别，或朝代及朝代的期别；以及更细节的遗址分期,年代类型（Chronology Type）,\,\,属性族,,"C1：绝对年代 Absolute date
C2：相对年代 Relative date
C3：年代区段 Chronological phase",事物对应的制作时间跨度、绝对年代、相对年代、年代区段、,,
,,,,,C1：绝对年代 Absolute date,\,文本,,"该期别的绝对年代范围，描述可为“公元xxx；距今xxx”；包括：
date_value	数值（整数）
date_unit BCE / CE / BP
date_calibration Cal / Uncal
date_error ± 年数
如果没有相关描述即为：null","2800 BCE ± 50
4300±40 BP (Cal)
",,
,,,,,C2：相对年代 Relative date,\,文本,,"文化时期/期别和朝代/朝代期别，是同级别的概念，在夏朝之前没有朝代的命名，可能使用文化指称；夏朝之后用朝代指称，e.g.在夏朝之前的龙山文化，处于新石器时代晚期，用龙山文化指称。填写时可包括下述信息：
ultural_period 考古学文化（e.g. 龙山文化）
phase	期别（e.g. 龙山文化晚期）
如果没有相关描述即为：null","仰韶文化中期
龙山文化晚期
夏朝、商朝",,
,,,,,C3：年代区段 Chronological phase,\,文本,,"填写遗址分期，遗址分期为人工划定，分期的依据主要是以器物相似性等划分。例如盘龙城遗址有多期，单一期数可能对应不同文化/朝代（C2：相对年代），也可能不一定能找到对应文化/朝代信息。填写时可包括下述信息：
chronological_label，如：“盘龙城一期”
如果没有相关描述即为：null",,,
