ID,文物类型,抽取属性(CN),数据库字段(EN),字段说明,Entity,Property,Target Class,created_at
1,site,遗址名称,site_name,遗址的标准名称、别名（例如：三星堆遗址）。,E27 Site,P1 is identified by(被标识为),,2025-12-01 18:43:47
2,site,遗址类型,site_type,遗址类型（例如：聚落址、墓地、城址、祭祀坑）。,E27 Site,P2 has type(类型),,2025-12-01 18:43:47
3,site,遗址当前位置,current_location,遗址所在的行政区划、地理单元（例如：广汉市鸭子河南岸）。,E27 Site,P53 has former or current location(位于),,2025-12-01 18:43:47
4,site,遗址空间数据,spatial_data,具体的经纬度坐标、海拔高度数据。如果抽取不到，需要通过LLM基于当前位置进行推理标注,E27 Site,P168 place is defined by(空间定义),,2025-12-01 18:43:47
5,site,遗址描述,description,遗址的自然环境描述、发掘历史综述、保存状况等非结构化文本。,E27 Site,P3 has note(注释),,2025-12-01 18:43:47
6,site,遗址内子区域,site_sub_zone,遗址内部划分的区域（如：西区、北城墙区、探方T0102）。,E27 Site,P46 is composed of(由...组成),,2025-12-01 18:43:47
7,site,子区域编号或名称,sub_zone_name,"区域的编号或名称（如：Area A, T105）。",E53 Place,P87 is identified by(被标识为),,2025-12-01 18:43:47
8,site,子区域位置描述,sub_zone_location,该区域在遗址内的相对位置描述（如：位于遗址中心台地）。,E53 Place,P89 falls within(位于...之内),,2025-12-01 18:43:47
9,site,子区域内具体单位,sub_zone_unit,建立子区域与内部具体单位（墓葬、灰坑、探方）的从属关系。,E53 Place,P46 is composed of,,2025-12-01 18:43:47
10,site,所属子区域,parent_sub_zone,该具体单位（墓葬、灰坑、探方等）属于哪个子区域,E53 Place,,,2025-12-01 18:43:47
21,period,时期/期别,period_name,遗址内的细分同一文化的细分名称分期名称（如：盘龙城第一期、二里头二期偏晚）。如果同一文化没有细分则为该文化的名称,E4 Period,P1 is identified by(被标识为),,2025-12-01 18:43:47
22,period,发展阶段,development_stage,时期/期别属于遗址的哪个阶段，定义这个时期是属于该遗址的特定发展阶段。,E4 Period,P7 took place at,,2025-12-01 18:43:47
23,period,绝对年代,absolute_dating,"该期别的绝对年代范围（如：1600 BC - 1500 BC, C14测年数据）。",E4 Period,P4 has time-span(拥有时间跨度),,2025-12-01 18:43:47
24,period,历史背景朝代,historical_era,该文化时期/期别的朝代（如：夏朝),E4 Period,P10 falls within,,2025-12-01 18:43:47
25,period,细分时期划分,sub_period,时期/期别的更细分时期，更细的年代划分（如：盘龙城一期早段、盘龙城一期晚段）。,E4 Period,P9 consists of(包含),,2025-12-01 18:43:47
26,period,时期顺序,phase_sequence,明确期别之间的时间序列关系（第一期 早于 第二期）。,E4 Period,P120 occurs before(发生于...之前),,2025-12-01 18:43:47
27,period,物理地层归属,stratigraphic_layer,将物理实体（墓葬/灰坑/地层/堆积等）归属到特定时期/期别，如将物理地层（第3层）归属到特定期别（第二期）。,E25 Man-Made Feature(墓葬/灰坑/地层/堆积),P108i was produced by,E12 Production,2025-12-01 18:43:47
45,pottery,陶土种类,clay_type,识别陶土的基本类型（如红陶土、高岭土等）。,E22 Man-Made Object,P45 consists of (由...组成),E57 Material (材料),2025-12-01 18:43:47
46,pottery,陶土纯洁程度,clay_purity,描述陶土的纯度。,E22 Man-Made Object,P2 has type,,2025-12-01 18:43:47
47,pottery,陶土细腻程度,clay_fineness,描述陶土颗粒的细腻度。,E22 Man-Made Object,E55 Type,,2025-12-01 18:43:47
48,pottery,掺杂物,mixed_materials,包含矿物性（沙子、云母）和有机物（稻壳、骨渣）。,E22 Man-Made Object,P45 consists of (由...组成),,2025-12-01 18:43:47
49,pottery,硬度,hardness,用于物理检测，并可辅助推理烧成温度。,E22 Man-Made Object,P43 has dimension (具有量度),,2025-12-01 18:43:47
50,pottery,烧成温度,firing_temperature,记录生产该陶器时的窑温数据。,E22 Man-Made Object,P108 was produced by (已产出),E12 Production (生产),2025-12-01 18:43:47
51,pottery,基本器型,basic_shape,陶器的分类名称，如：罐、壶、盆、钵、鼎等。,E22 Man-Made Object,P2 has type (是类型),,2025-12-01 18:43:47
52,pottery,器型部位特征,shape_features,描述陶器的具体部位形态，如：卷沿、敛口、高领、鼓腹等。,E22 Man-Made Object,P46 is composed of (由...构成),E26 Physical Feature (物理部件),2025-12-01 18:43:47
53,pottery,器物组合,vessel_combination,指陶器所属的组合类型，如：鼎簋组合、杯盘组合。(注：在 CRM 中通常表示为 E22 是某个组合 E19 的一部分),E22 Man-Made Object,P46 is composed of (或者反向 P46),E19 Physical Object (器物组合),2025-12-01 18:43:47
54,pottery,基本尺寸,dimensions,定义测量的是哪个维度，如：通高、口径、底径、腹径。,E22 Man-Made Object,P43 has dimension (具有量度),E54 Dimension (维度),2025-12-01 18:43:47
55,pottery,器物功能,function,陶器制造时的预设用途，如：炊煮、盛储、水器、礼器。,E22 Man-Made Object,P103 was intended for (被意图用于),,2025-12-01 18:43:47
56,pottery,成型工艺,forming_technique,制作陶坯的基础技术，如：泥条盘筑、轮制、手捏、模制。,E22 Man-Made Object,P108 was produced by (已产出),E12 Production (生产),2025-12-01 18:43:47
57,pottery,修整技术,finishing_technique,对陶坯表面的处理技术，如：磨光、刮削、拍打。,E22 Man-Made Object,P108 was produced by (已产出),E12 Production (生产),2025-12-01 18:43:47
58,pottery,装饰手法,decoration_method,施加纹饰的动作/技术，如：刻划、彩绘、镂空、堆塑。,E22 Man-Made Object,P108 was produced by (已产出),E12 Production (生产),2025-12-01 18:43:47
59,pottery,纹饰类型,decoration_type,视觉上呈现的具体图案，如：绳纹、几何纹、动物纹、弦纹。,E22 Man-Made Object,P65 shows visual item (展示视觉项),E36 Visual Item (视觉项),2025-12-01 18:43:47
60,pottery,人工物品编号,artifact_code,记录其唯一的编号。,E22 Man-Made Object,P1\text{ is identified by},,2025-12-01 18:43:47
61,pottery,制作活动,production_activity,关联到该文物的制造活动。,E22 Man-Made Object,P108\text{ was produced by},,2025-12-01 18:43:47
62,pottery,制作者,maker,记录制造该文物的人或群体。,E22 Man-Made Object,P14\text{ carried out by},,2025-12-01 18:43:47
63,pottery,制作年代,production_period,记录文物的制作时间。,E22 Man-Made Object,P4\text{ has time-span},,2025-12-01 18:43:47
64,pottery,制作地点,production_location,记录文物的制造地理位置。,E22 Man-Made Object,P7\text{ took place at},,2025-12-01 18:43:47
65,pottery,原始出土地点,excavation_location,关联到该文物的发现地点和上下文，关联到其出土的墓葬、灰坑或层位。,E22 Man-Made Object,P53 has former or current location,,2025-12-01 18:43:47
66,pottery,发掘活动,excavation_activity,关联到发现该物品的发掘活动。,E22 Man-Made Object,P106\text{ was found by},,2025-12-01 18:43:47
67,pottery,量度信息,measurements,记录其长、宽、高、重等定量数据。,E22 Man-Made Object,P43\text{ has measurement},,2025-12-01 18:43:47
85,jade,器型单元,shape_unit,"(按形制分类)直接将器物形态定义为类型概念，如：
璧环类 (Bi/Huan)、琮筒类 (Cong/Tube)、兵器仪仗类、佩饰类、肖生类 (Zoomorphic)、丧葬类、剑饰类",E22 Man-Made Object,P2 has type(有类型),,2025-12-01 18:43:47
86,jade,纹饰单元(按图案题材分类),decoration_unit,几何纹饰单元、神人神兽纹饰单元、宗教符号单元,E22 Man-Made Object,P65 shows visual item(展示视觉项),E36 Visual Item(视觉单元),2025-12-01 18:43:47
87,jade,工艺特征单元(按制作痕迹分类),craft_unit,切割与成型、钻孔技术、雕刻技法、装饰工艺,E22 Man-Made Object,P108i was produced by(被生产于),E12 Production(生产事件),2025-12-01 18:43:47
88,jade,材质单元,jade_type,"按材质的材料物理特征进行界定和描述，如: 透闪石, 软玉等",E22 Man-Made Object,P45 consists o(由...构成)f,,2025-12-01 18:43:47
89,jade,沁色单元,surface_condition,"按沁色物理和工艺特征进行界定和描述，如: 钙化, 铁沁等",E22 Man-Made Object,P44 has condition(有状态),E3 Condition State(生存状态/条件),2025-12-01 18:43:47
90,jade,人工物品编号,artifact_code,记录其唯一的编号。,E22 Man-Made Object,P1\text{ is identified by},,2025-12-01 18:43:47
91,jade,量度信息,measurements,记录其长、宽、高、重等定量数据。,E22 Man-Made Object,$P43\text{ has measurement}$,,2025-12-01 18:43:47
92,jade,原始出土地点,excavation_location,关联到其出土的墓葬、灰坑或层位。,E22 Man-Made Object,P53 has former or current location,,2025-12-01 18:43:47
93,jade,制作活动,production_activity,关联到其制造活动。,E22 Man-Made Object,P108\text{ was produced by},,2025-12-01 18:43:47
94,jade,制作者,maker,记录制造该物品的人或群体。,E22 Man-Made Object,P14\text{ carried out by},,2025-12-01 18:43:47
95,jade,制作年代,production_period,记录物品的制作时间。,E22 Man-Made Object,P4\text{ has time-span},,2025-12-01 18:43:47
96,jade,制作地点,production_location,记录物品的制造地理位置。,E22 Man-Made Object,P7\text{ took place at},,2025-12-01 18:43:47
97,jade,发掘活动,excavation_activity,关联到发现该物品的发掘活动。,E22 Man-Made Object,P106\text{ was found by},,2025-12-01 18:43:47
98,jade,整体形态描述,overall_description,记录其玉器整体形态的描述，如：长条形，一端圆尖，另一端略扁,E22 Man-Made Object,P46 is composed of,E26 物理特征(器身/整体),2025-12-01 18:43:47
99,jade,器物功能,function,此物件使用的场合、作用、使用者和目的等等,E22 Man-Made Object,P103 was intended for (被意图用于),,2025-12-01 18:43:47
